"","Date","Season","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"1",2008-05-13,"fall","Canberra",1.3,19,0,2.2,9.4,"NNW",30,"SE","NW",7,15,87,34,1024.7,1021.4,1,2,7.9,18.6,0,0
"2",2009-11-23,"spring","Adelaide",11.2,23.2,0,7.6,12.6,"SW",41,"S","SW",17,20,45,41,1026.7,1024.8,6,3,16.7,21.9,0,0
"3",2012-07-21,"winter","Canberra",-4,14.1,0,4.2,8.3,"SW",30,"N","SSE",7,11,69,40,1032.7,1029.9,0,1,2.9,13.4,0,0
"4",2013-06-08,"winter","Adelaide",7.2,18.1,0,5.7,3.8,"NNW",26,"NE","NW",7,13,77,50,1029.8,1026,5,1,11.3,17.8,0,0
"7",2016-09-23,"spring","Canberra",5.5,18.2,0.2,2.4,7.6,"SSW",48,"S","SSE",31,13,65,51,1015.3,1012.4,7,7,12.9,16.3,0,0
"8",2013-10-05,"spring","Adelaide",15.5,25.5,0,2.4,10.2,"NNW",50,"N","WSW",19,13,21,35,1012.8,1010,2,2,20.6,23.4,0,0
"9",2008-07-13,"winter","Melbourne",8.4,14.3,0,3.8,4.2,"N",87,"N","N",33,44,49,55,1017.1,1014.4,7,4,11.3,13.8,0,0
"10",2014-04-24,"fall","Canberra",6.8,21.1,0,2.4,5.7,"WNW",44,"NW","WNW",9,28,67,33,1014.6,1013.8,7,5,16.1,20.2,0,0
"11",2015-12-31,"summer","Adelaide",20.7,40.6,0,2.4,5.7,"WSW",31,"NE","WSW",7,15,12,10,1011.6,1010,7,5,32.5,39.2,0,0
"12",2014-03-13,"fall","Canberra",14,23.2,0,5.7,5.7,"ENE",30,"ESE","ESE",11,7,82,65,1020.3,1017.6,8,8,15.9,20.9,0,0
"13",2013-06-03,"winter","Melbourne",10.3,15.8,57.8,0.4,0.5,"SSW",33,"SW","SW",20,13,73,58,1025.2,1024.1,7,7,12.7,14.6,1,0
"14",2009-03-27,"fall","Melbourne",12.7,20.5,0,5.4,9.4,"SSW",33,"SW","SE",13,13,65,45,1027.2,1025.8,6,3,14.5,19.4,0,0
"15",2011-08-19,"winter","Sydney",8.6,17.4,0.8,4.2,0.7,"SE",78,"W","SSE",28,39,85,74,1014.2,1015.8,6,7,9.1,16.2,0,1
"16",2014-01-08,"summer","Adelaide",12.7,27.7,0,6.2,13.6,"ESE",41,"WSW","W",7,17,53,31,1020.8,1016.6,0,1,17.8,26.5,0,0
"17",2016-08-11,"winter","Sydney",11.2,20.3,0,6.2,10.6,"W",46,"W","WSW",17,22,48,30,1018.4,1017,1,1,14,19.6,0,0
"20",2015-11-23,"spring","Adelaide",13.9,23.2,0,5.7,7.6,"WSW",35,"SSW","WSW",9,17,51,36,1021.8,1020.3,2,5,17.3,22.4,0,0
"21",2013-08-16,"winter","Adelaide",10,17.7,0,3.2,2.9,"WSW",69,"NNE","N",19,9,32,80,1003.9,999.4,8,1,15.1,12.9,0,1
"22",2014-01-23,"summer","Melbourne",13.6,30.4,0,7.4,12.5,"N",46,"WSW","S",9,26,58,47,1020.3,1014.4,0,1,17.3,25.3,0,1
"23",2011-08-29,"winter","Melbourne",11.1,15.9,0.2,3.8,5.2,"WSW",46,"W","SSE",22,20,70,49,1018.2,1020,3,5,12.2,14.4,0,0
"24",2017-03-23,"fall","Adelaide",17.7,29,0,2.4,7.6,"WSW",26,"SSW","ESE",2,9,75,50,1019,1015.1,8,8,18.6,28,0,0
"25",2012-04-19,"fall","Melbourne",15.3,24.2,0,2,2,"N",30,"W","N",7,17,72,57,1017.9,1014.3,7,7,18.7,23.9,0,1
"26",2014-09-25,"spring","Melbourne",13.6,17.1,13.2,9,0.8,"SSW",41,"SSW","S",22,20,91,58,1016.9,1017.8,8,8,14.4,17,1,0
"27",2017-03-28,"fall","Canberra",15.9,27.3,0.4,4.2,5.7,"NNW",33,"N","NNW",9,11,85,41,1013.4,1011.1,3,4,18,26.5,0,0
"28",2009-12-08,"summer","Melbourne",14.5,17.8,8.2,6.8,1.5,"SW",48,"SW","SSW",35,17,93,71,1008.6,1009.1,8,8,15.5,15.4,1,1
"29",2008-05-24,"fall","Canberra",1.2,14.5,0,1.2,8.9,"SE",17,"SE","SSW",6,6,74,43,1026.7,1023.5,0,1,6.5,13.9,0,0
"30",2013-04-09,"fall","Sydney",15.6,22,5.2,2.4,3.6,"WNW",24,"WNW","ESE",15,6,90,73,1026.7,1024.3,6,3,16.7,20.7,1,1
"31",2016-02-26,"summer","Adelaide",14.7,24.9,0,8,6.8,"SW",37,"SSW","WSW",9,20,63,46,1022.2,1021.4,7,8,19.8,24.4,0,0
"32",2014-01-24,"summer","Adelaide",20.1,27.3,0.2,6.8,9.1,"WSW",44,"SW","WSW",9,15,76,46,1013.2,1013.1,1,1,20.5,25.9,0,0
"33",2013-12-16,"summer","Melbourne",14.8,21.4,0,5,8.9,"S",35,"SE","S",13,15,67,59,1021.9,1020.3,8,6,15.9,20,0,0
"34",2010-01-25,"summer","Adelaide",15.8,33.3,0,20,8.6,"WNW",24,"SW","W",6,15,44,18,1013.3,1009.7,2,8,22.2,32.5,0,0
"36",2014-12-28,"summer","Canberra",9.7,26.7,0,4.2,6.8,"N",37,"SW","NNE",4,13,74,40,1018.4,1012.4,8,8,16.6,23.7,0,0
"37",2008-10-22,"spring","Adelaide",9.5,20.7,0,5.6,10.6,"SE",31,"E","WSW",9,20,47,34,1032.5,1028.8,7,7,12.9,18.6,0,0
"38",2015-08-08,"winter","Sydney",7.9,17.5,0,2.6,8.9,"SSW",33,"WNW","SSE",19,24,63,44,1024.7,1022.5,5,1,11,16.3,0,0
"39",2009-05-12,"fall","Canberra",1.4,16.8,0,2,8.5,"NW",26,"SW","NW",2,15,81,44,1022.8,1018.7,1,6,7.5,15.2,0,0
"40",2016-02-10,"summer","Sydney",19.6,28.5,0.2,7.6,12.7,"NE",43,"W","ENE",11,22,68,46,1016.7,1012.9,2,1,23.2,27.6,0,0
"41",2013-01-16,"summer","Sydney",19.1,27.2,0,6.6,11.4,"E",31,"WNW","E",7,24,64,65,1014.6,1011.8,3,4,23.2,24.9,0,0
"42",2012-09-11,"spring","Canberra",-2,18.5,0,3.6,8.6,"N",28,"SSW","NNW",11,9,74,33,1026.5,1022.4,4,5,8.6,18.2,0,0
"43",2012-09-01,"spring","Canberra",-6.8,14.5,5.8,2.4,8.6,"S",48,"NNE","S",7,24,71,34,1023.5,1021.6,1,4,2,12.7,1,0
"44",2011-01-21,"summer","Canberra",12.4,30.5,0,4.8,11.3,"ESE",41,"NE","NW",6,15,69,36,1014.4,1011.3,3,3,19.7,29.3,0,0
"45",2013-06-11,"winter","Sydney",10.5,19.6,0.8,0.2,8.5,"W",30,"W","WNW",17,9,94,54,1021,1017.6,3,6,11.3,18.4,0,0
