"","Date","Season","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"8302",2010-10-10,"spring","Sydney",14.7,21.9,0,3.8,9,"ESE",48,"ESE","ESE",28,33,59,53,1031.2,1031.7,7,7,18.5,20.7,1,1
"8303",2010-10-22,"spring","Sydney",15.3,23,0,5.6,11,"NNE",41,"W","ENE",6,19,70,63,1021.4,1017.8,1,4,19,22.2,0,0
"8304",2010-11-08,"spring","Sydney",16.1,26.3,0,5.8,7.9,"SW",74,"E","NNE",7,28,64,52,1017.2,1015.1,3,7,23.3,23.8,0,1
"8305",2010-11-10,"spring","Sydney",18.2,24.5,0,3.2,6,"N",52,"WNW","ENE",6,30,87,72,1021.8,1017.1,5,7,20.9,23.5,0,1
"8306",2010-11-17,"spring","Sydney",17.1,22.3,0.4,6.6,4.2,"SSE",28,"S","E",17,15,80,61,1017.1,1015.7,7,6,17.5,21,0,0
"8307",2010-11-21,"spring","Sydney",15,23.1,0,5.6,12.8,"ENE",39,"NE","E",17,26,56,55,1020.1,1022.9,6,4,17.6,22.6,0,0
"8308",2010-11-22,"spring","Sydney",16.5,24,0,9,11.4,"NE",44,"WNW","E",4,26,82,54,1026,1024.3,6,2,19.3,23.2,0,0
"8309",2010-12-09,"summer","Sydney",22,30.7,0,10.4,2.6,"N",31,"NE","SSE",13,9,80,62,1010.8,1008.2,7,8,23.4,28.3,0,0
"8310",2010-12-24,"summer","Sydney",18.7,24.1,0,8,8,"SE",44,"ESE","ESE",19,19,65,47,1026.1,1023.7,1,1,19.8,23.6,0,0
"8311",2010-12-31,"summer","Sydney",21.4,27.2,0,8.8,11.7,"NE",46,"ESE","ENE",7,28,78,65,1016,1013.9,7,4,24,26.4,0,0
"8312",2011-01-01,"summer","Sydney",20.5,29,0,10,10.8,"NE",39,"E","ENE",13,20,69,58,1013.2,1010.1,2,2,25.5,27.1,0,0
"8313",2011-01-11,"summer","Sydney",21.8,25.2,0.4,6.6,0.8,"ENE",44,"E","NE",20,20,71,79,1014.5,1012.1,7,8,24.3,24.3,0,1
"8314",2011-01-25,"summer","Sydney",21.7,28.5,0,10.6,10.2,"S",50,"WSW","ENE",4,20,70,64,1008,1006.9,3,4,24.3,27.2,0,0
"8315",2011-01-30,"summer","Sydney",17.8,28.2,0,8.4,12.8,"NNE",43,"NNW","ENE",15,24,64,56,1020.2,1016.3,7,7,23.1,27.5,0,0
"8316",2011-02-01,"summer","Sydney",22.7,33.5,0,12,12.3,"NNE",37,"W","NE",7,17,65,49,1011.3,1006.9,8,8,26.1,31.8,0,0
"8317",2011-02-04,"summer","Sydney",24,33.7,0,5.2,6.8,"ENE",43,"N","ENE",7,28,72,73,1014.7,1011.1,8,8,27.3,27.8,0,0
