"","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","Location_Canberra","Location_Adelaide","Location_Melbourne","Location_Sydney","Season_fall","Season_spring","Season_winter","Season_summer","WindGustDir_NNW","WindGustDir_SW","WindGustDir_SSW","WindGustDir_N","WindGustDir_WNW","WindGustDir_WSW","WindGustDir_ENE","WindGustDir_SE","WindGustDir_ESE","WindGustDir_W","WindGustDir_S","WindGustDir_NW","WindGustDir_NE","WindGustDir_E","WindGustDir_SSE","WindGustDir_NNE","WindDir9am_SE","WindDir9am_S","WindDir9am_N","WindDir9am_NE","WindDir9am_NW","WindDir9am_ESE","WindDir9am_SW","WindDir9am_W","WindDir9am_WSW","WindDir9am_SSW","WindDir9am_NNE","WindDir9am_WNW","WindDir9am_E","WindDir9am_NNW","WindDir9am_SSE","WindDir9am_ENE","WindDir3pm_NW","WindDir3pm_SW","WindDir3pm_SSE","WindDir3pm_WSW","WindDir3pm_N","WindDir3pm_WNW","WindDir3pm_ESE","WindDir3pm_SE","WindDir3pm_W","WindDir3pm_S","WindDir3pm_NNW","WindDir3pm_SSW","WindDir3pm_NNE","WindDir3pm_ENE","WindDir3pm_E","WindDir3pm_NE"
"1",1.3,19,0,2.2,9.4,30,"SE","NW",7,15,87,34,1024.7,1021.4,1,2,7.9,18.6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",11.2,23.2,0,7.6,12.6,41,"S","SW",17,20,45,41,1026.7,1024.8,6,3,16.7,21.9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-4,14.1,0,4.2,8.3,30,"N","SSE",7,11,69,40,1032.7,1029.9,0,1,2.9,13.4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",7.2,18.1,0,5.7,3.8,26,"NE","NW",7,13,77,50,1029.8,1026,5,1,11.3,17.8,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5.5,18.2,0.2,2.4,7.6,48,"S","SSE",31,13,65,51,1015.3,1012.4,7,7,12.9,16.3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",15.5,25.5,0,2.4,10.2,50,"N","WSW",19,13,21,35,1012.8,1010,2,2,20.6,23.4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7",8.4,14.3,0,3.8,4.2,87,"N","N",33,44,49,55,1017.1,1014.4,7,4,11.3,13.8,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8",6.8,21.1,0,2.4,5.7,44,"NW","WNW",9,28,67,33,1014.6,1013.8,7,5,16.1,20.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9",20.7,40.6,0,2.4,5.7,31,"NE","WSW",7,15,12,10,1011.6,1010,7,5,32.5,39.2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",14,23.2,0,5.7,5.7,30,"ESE","ESE",11,7,82,65,1020.3,1017.6,8,8,15.9,20.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
