id,category,subcategory,energy,percentage,datetime
1,Renovable,Hidráulica,53722.12,0.31722207661963636,2019-01-01T00:00:00.000+01:00
2,Renovable,Hidráulica,61294.768,0.20827477009671783,2019-01-02T00:00:00.000+01:00
3,Renovable,Hidráulica,82981.951,0.3622758196846154,2019-01-03T00:00:00.000+01:00
4,Renovable,Hidráulica,94301.94,0.4482532404733024,2019-01-04T00:00:00.000+01:00
5,Renovable,Hidráulica,58822.692,0.27465081477001124,2019-01-05T00:00:00.000+01:00
6,Renovable,Hidráulica,42064.747,0.17106178088210705,2019-01-06T00:00:00.000+01:00
7,Renovable,Hidráulica,66708.373,0.24833323377363647,2019-01-07T00:00:00.000+01:00
8,Renovable,Hidráulica,68044.833,0.2492374449117323,2019-01-08T00:00:00.000+01:00
9,Renovable,Hidráulica,48716.673,0.14329189289680183,2019-01-09T00:00:00.000+01:00
10,Renovable,Hidráulica,62288.159,0.1714621846413327,2019-01-10T00:00:00.000+01:00
11,Renovable,Hidráulica,64303.769,0.19457994738049603,2019-01-11T00:00:00.000+01:00
12,Renovable,Hidráulica,36415.318,0.13181366565222308,2019-01-12T00:00:00.000+01:00
13,Renovable,Hidráulica,42369.957,0.15760790945959877,2019-01-13T00:00:00.000+01:00
14,Renovable,Hidráulica,53598.566,0.1943905859009404,2019-01-14T00:00:00.000+01:00
15,Renovable,Hidráulica,81267.421,0.4697994613806879,2019-01-15T00:00:00.000+01:00
16,Renovable,Hidráulica,82944.481,0.46463283297076724,2019-01-16T00:00:00.000+01:00
17,Renovable,Hidráulica,72981.884,0.40156237846541815,2019-01-17T00:00:00.000+01:00
18,Renovable,Hidráulica,101622.441,0.49057039850178125,2019-01-18T00:00:00.000+01:00
19,Renovable,Hidráulica,69273.204,0.2974081850082373,2019-01-19T00:00:00.000+01:00
20,Renovable,Hidráulica,47734.816,0.1693353400697924,2019-01-20T00:00:00.000+01:00
21,Renovable,Hidráulica,91299.463,0.30880999909793455,2019-01-21T00:00:00.000+01:00
22,Renovable,Hidráulica,76301.055,0.2188840318948352,2019-01-22T00:00:00.000+01:00
23,Renovable,Hidráulica,64317.281,0.13806840187265804,2019-01-23T00:00:00.000+01:00
24,Renovable,Hidráulica,71281.067,0.17841027416951166,2019-01-24T00:00:00.000+01:00
25,Renovable,Hidráulica,76711.708,0.212731463321017,2019-01-25T00:00:00.000+01:00
26,Renovable,Hidráulica,68907.867,0.29769269356526457,2019-01-26T00:00:00.000+01:00
27,Renovable,Hidráulica,54595.836,0.1414861111771948,2019-01-27T00:00:00.000+01:00
28,Renovable,Hidráulica,76405.736,0.1781856837364431,2019-01-28T00:00:00.000+01:00
29,Renovable,Hidráulica,78839.109,0.19355287149768913,2019-01-29T00:00:00.000+01:00
30,Renovable,Hidráulica,85928.214,0.21950465906214997,2019-01-30T00:00:00.000+01:00
31,Renovable,Hidráulica,91169.602,0.1909478988822599,2019-01-31T00:00:00.000+01:00
32,Renovable,Hidráulica,104180.249,0.21501851603129837,2019-02-01T00:00:00.000+01:00
33,Renovable,Hidráulica,104172.754,0.23041118208170594,2019-02-02T00:00:00.000+01:00
34,Renovable,Hidráulica,103565.911,0.27497442287759855,2019-02-03T00:00:00.000+01:00
35,Renovable,Hidráulica,112595.836,0.35748978553031113,2019-02-04T00:00:00.000+01:00
36,Renovable,Hidráulica,113328.801,0.43952999958369676,2019-02-05T00:00:00.000+01:00
37,Renovable,Hidráulica,104095.745,0.4623713335325002,2019-02-06T00:00:00.000+01:00
38,Renovable,Hidráulica,104841.916,0.4314057125400897,2019-02-07T00:00:00.000+01:00
39,Renovable,Hidráulica,96035.63,0.34775754966195366,2019-02-08T00:00:00.000+01:00
40,Renovable,Hidráulica,88929.275,0.3069853837019344,2019-02-09T00:00:00.000+01:00
41,Renovable,Hidráulica,77094.103,0.21243213412517287,2019-02-10T00:00:00.000+01:00
42,Renovable,Hidráulica,86087.283,0.3191477321791563,2019-02-11T00:00:00.000+01:00
43,Renovable,Hidráulica,102813.641,0.46072487744361346,2019-02-12T00:00:00.000+01:00
44,Renovable,Hidráulica,102627.126,0.45650437670648486,2019-02-13T00:00:00.000+01:00
45,Renovable,Hidráulica,85739.273,0.2958259465855434,2019-02-14T00:00:00.000+01:00
46,Renovable,Hidráulica,90038.415,0.3921769265481849,2019-02-15T00:00:00.000+01:00
47,Renovable,Hidráulica,76773.291,0.28243631029793065,2019-02-16T00:00:00.000+01:00
48,Renovable,Hidráulica,66533.326,0.23153371143708967,2019-02-17T00:00:00.000+01:00
49,Renovable,Hidráulica,92032.562,0.3810302914271679,2019-02-18T00:00:00.000+01:00
50,Renovable,Hidráulica,101558.298,0.6111561768113958,2019-02-19T00:00:00.000+01:00
51,Renovable,Hidráulica,85119.485,0.44547259114779836,2019-02-20T00:00:00.000+01:00
52,Renovable,Hidráulica,76568.369,0.3348056935391003,2019-02-21T00:00:00.000+01:00
53,Renovable,Hidráulica,72749.435,0.33209971293032214,2019-02-22T00:00:00.000+01:00
54,Renovable,Hidráulica,62126.142,0.27767920651330075,2019-02-23T00:00:00.000+01:00
55,Renovable,Hidráulica,64015.484,0.3217138003555339,2019-02-24T00:00:00.000+01:00
56,Renovable,Hidráulica,89367.789,0.43357914520141283,2019-02-25T00:00:00.000+01:00
57,Renovable,Hidráulica,72981.411,0.32278771436036857,2019-02-26T00:00:00.000+01:00
58,Renovable,Hidráulica,76836.854,0.33147423347316834,2019-02-27T00:00:00.000+01:00
59,Renovable,Hidráulica,70597.07,0.322007966287742,2019-02-28T00:00:00.000+01:00
60,Renovable,Hidráulica,77828.26,0.37292604216034425,2019-03-01T00:00:00.000+01:00
61,Renovable,Hidráulica,62615.899,0.24277640123421537,2019-03-02T00:00:00.000+01:00
62,Renovable,Hidráulica,48510.165,0.16882958550126798,2019-03-03T00:00:00.000+01:00
63,Renovable,Hidráulica,56357.327,0.16419243358097413,2019-03-04T00:00:00.000+01:00
64,Renovable,Hidráulica,58100.225,0.21681205836678913,2019-03-05T00:00:00.000+01:00
65,Renovable,Hidráulica,58857.557,0.14110202005754732,2019-03-06T00:00:00.000+01:00
66,Renovable,Hidráulica,75680.486,0.24965637871984192,2019-03-07T00:00:00.000+01:00
67,Renovable,Hidráulica,96360.601,0.46067833615716564,2019-03-08T00:00:00.000+01:00
68,Renovable,Hidráulica,95355.217,0.4150262994980084,2019-03-09T00:00:00.000+01:00
69,Renovable,Hidráulica,67930.593,0.27173142500415537,2019-03-10T00:00:00.000+01:00
70,Renovable,Hidráulica,93095.752,0.343468610024736,2019-03-11T00:00:00.000+01:00
71,Renovable,Hidráulica,84070.739,0.28513827792700197,2019-03-12T00:00:00.000+01:00
72,Renovable,Hidráulica,67874.114,0.196196099218271,2019-03-13T00:00:00.000+01:00
73,Renovable,Hidráulica,85056.201,0.2818954207447244,2019-03-14T00:00:00.000+01:00
74,Renovable,Hidráulica,98765.013,0.37493105994716375,2019-03-15T00:00:00.000+01:00
75,Renovable,Hidráulica,76181.066,0.30788279604290303,2019-03-16T00:00:00.000+01:00
76,Renovable,Hidráulica,42552.491,0.13799707271995684,2019-03-17T00:00:00.000+01:00
77,Renovable,Hidráulica,62634.501,0.21515276655135998,2019-03-18T00:00:00.000+01:00
78,Renovable,Hidráulica,63470.908,0.2080637798050461,2019-03-19T00:00:00.000+01:00
79,Renovable,Hidráulica,65301.482,0.2118868732519608,2019-03-20T00:00:00.000+01:00
80,Renovable,Hidráulica,81165.931,0.30627996901583376,2019-03-21T00:00:00.000+01:00
81,Renovable,Hidráulica,105209.649,0.4121200108913486,2019-03-22T00:00:00.000+01:00
82,Renovable,Hidráulica,74580.473,0.33074026934694967,2019-03-23T00:00:00.000+01:00
83,Renovable,Hidráulica,47572.518,0.2025878407034813,2019-03-24T00:00:00.000+01:00
84,Renovable,Hidráulica,48328.245,0.13665142217052448,2019-03-25T00:00:00.000+01:00
85,Renovable,Hidráulica,44191.178,0.11189253207040221,2019-03-26T00:00:00.000+01:00
86,Renovable,Hidráulica,49260.606,0.1489655711233448,2019-03-27T00:00:00.000+01:00
87,Renovable,Hidráulica,60620.753,0.2012651535742364,2019-03-28T00:00:00.000+01:00
88,Renovable,Hidráulica,72619.928,0.26341207605408434,2019-03-29T00:00:00.000+01:00
89,Renovable,Hidráulica,50638.578,0.22617356036558828,2019-03-30T00:00:00.000+01:00
90,Renovable,Hidráulica,61880.832,0.37818535787983665,2019-03-31T00:00:00.000+01:00
91,Renovable,Hidráulica,86710.531,0.5593154606379688,2019-04-01T00:00:00.000+02:00
92,Renovable,Hidráulica,83164.935,0.4677799957385949,2019-04-02T00:00:00.000+02:00
93,Renovable,Hidráulica,65400.943,0.2371072584718081,2019-04-03T00:00:00.000+02:00
94,Renovable,Hidráulica,62710.157,0.2325651880657643,2019-04-04T00:00:00.000+02:00
95,Renovable,Hidráulica,73535.245,0.24853963887647088,2019-04-05T00:00:00.000+02:00
96,Renovable,Hidráulica,55856.409,0.16167565247628374,2019-04-06T00:00:00.000+02:00
97,Renovable,Hidráulica,50757.459,0.17203833229656348,2019-04-07T00:00:00.000+02:00
98,Renovable,Hidráulica,59284.298,0.21220850352862963,2019-04-08T00:00:00.000+02:00
99,Renovable,Hidráulica,55846.571,0.16549010154337515,2019-04-09T00:00:00.000+02:00
100,Renovable,Hidráulica,57950.714,0.1844317983217209,2019-04-10T00:00:00.000+02:00
101,Renovable,Hidráulica,66323.71,0.22492224105458158,2019-04-11T00:00:00.000+02:00
102,Renovable,Hidráulica,65634.563,0.24344442156245752,2019-04-12T00:00:00.000+02:00
103,Renovable,Hidráulica,56056.423,0.2807424708889142,2019-04-13T00:00:00.000+02:00
104,Renovable,Hidráulica,49512.139,0.2446479259677255,2019-04-14T00:00:00.000+02:00
105,Renovable,Hidráulica,59450.39,0.20912310277299598,2019-04-15T00:00:00.000+02:00
106,Renovable,Hidráulica,67173.002,0.2972665026466456,2019-04-16T00:00:00.000+02:00
107,Renovable,Hidráulica,75126.82,0.22220420641228092,2019-04-17T00:00:00.000+02:00
